ProjectRegion,Site Code,siteid,sitename,stationid,habitatid,length,offshoreDepth,latDD,lonDD,latDeg,latMin,lonDeg,lonMin
FKNMS,7P3,23,Rawa Reef,231,P,24,20,24.7176,-80.9357,24,43.056,-80,56.142
FKNMS,7P3,23,Rawa Reef,232,P,24,22,24.7176,-80.9357,24,43.056,-80,56.142
FKNMS,7P3,23,Rawa Reef,233,P,22,20,24.7176,-80.9357,24,43.056,-80,56.142
FKNMS,7P3,23,Rawa Reef,234,P,21,22,24.7176,-80.9357,24,43.056,-80,56.142
FKNMS,5P6,26,Red Dun Reef,261,P,21,22,24.5209,-81.6621,24,31.254,-81,39.726
FKNMS,5P6,26,Red Dun Reef,262,P,24,23,24.5209,-81.6621,24,31.254,-81,39.726
FKNMS,5P6,26,Red Dun Reef,263,P,24,22,24.5209,-81.6621,24,31.254,-81,39.726
FKNMS,5P6,26,Red Dun Reef,264,P,19,23,24.5209,-81.6621,24,31.254,-81,39.726
FKNMS,5D5,80,Rock Key Deep,801,OD,22,42,24.4532,-81.8568,24,27.192,-81,51.408
FKNMS,5D5,80,Rock Key Deep,802,OD,22,40,24.4532,-81.8568,24,27.192,-81,51.408
FKNMS,5D5,80,Rock Key Deep,803,OD,23,40,24.4532,-81.8568,24,27.192,-81,51.408
FKNMS,5D5,80,Rock Key Deep,804,OD,21,40,24.4532,-81.8568,24,27.192,-81,51.408
FKNMS,5S5,60,Rock Key Shallow,601,OS,23,15,24.4545,-81.8589,24,27.27,-81,51.534
FKNMS,5S5,60,Rock Key Shallow,602,OS,23,16,24.4545,-81.8589,24,27.27,-81,51.534
FKNMS,5S5,60,Rock Key Shallow,603,OS,21,17,24.4545,-81.8589,24,27.27,-81,51.534
FKNMS,5S5,60,Rock Key Shallow,604,OS,22,9,24.4548,-81.857,24,27.288,-81,51.42
FKNMS,2D1,81,Sand Key Deep,811,OD,22,35,24.4517,-81.8798,24,27.102,-81,52.788
FKNMS,2D1,81,Sand Key Deep,812,OD,22,34,24.4517,-81.8798,24,27.102,-81,52.788
FKNMS,2D1,81,Sand Key Deep,813,OD,22,33,24.4517,-81.8798,24,27.102,-81,52.788
FKNMS,2D1,81,Sand Key Deep,814,OD,22,30,24.4517,-81.8798,24,27.102,-81,52.788
FKNMS,2S1,61,Sand Key Shallow,611,OS,22,21,24.452,-81.8775,24,27.12,-81,52.65
FKNMS,2S1,61,Sand Key Shallow,612,OS,22,18,24.452,-81.8775,24,27.12,-81,52.65
FKNMS,2S1,61,Sand Key Shallow,613,OS,22,18,24.452,-81.8775,24,27.12,-81,52.65
FKNMS,2S1,61,Sand Key Shallow,614,OS,21,21,24.452,-81.8775,24,27.12,-81,52.65
FKNMS,2P1,39,Smith Shoal,391,BCP,25,26,24.7197,-81.9195,24,43.182,-81,55.17
FKNMS,2P1,39,Smith Shoal,392,BCP,25,26,24.7197,-81.9195,24,43.182,-81,55.17
FKNMS,2P1,39,Smith Shoal,393,BCP,20,25,24.7197,-81.9195,24,43.182,-81,55.17
FKNMS,2P1,39,Smith Shoal,394,BCP,23,21,24.7197,-81.9195,24,43.182,-81,55.17
FKNMS,5D1,76,Sombrero Deep,761,OD,20,50,24.6223,-81.112,24,37.338,-81,6.72
FKNMS,5D1,76,Sombrero Deep,762,OD,20,45,24.6223,-81.112,24,37.338,-81,6.72
FKNMS,5D1,76,Sombrero Deep,763,OD,20,47,24.6231,-81.1105,24,37.386,-81,6.63
FKNMS,5D1,76,Sombrero Deep,764,OD,20,48,24.6231,-81.1105,24,37.386,-81,6.63
FKNMS,5S1,56,Sombrero Shallow,561,OS,20,17,24.6253,-81.1116,24,37.518,-81,6.696
FKNMS,5S1,56,Sombrero Shallow,562,OS,20,17,24.6269,-81.1092,24,37.614,-81,6.552
FKNMS,5S1,56,Sombrero Shallow,563,OS,20,20,24.6258,-81.1092,24,37.548,-81,6.552
FKNMS,5S1,56,Sombrero Shallow,564,OS,20,9,24.6255,-81.1104,24,37.53,-81,6.624
NPSDT,1P4,44,Temptation Rock,441,P,20,23,24.6431,-82.9307,24,38.586,-82,55.842
NPSDT,1P4,44,Temptation Rock,442,P,21,22,24.6431,-82.9307,24,38.586,-82,55.842
NPSDT,1P4,44,Temptation Rock,443,P,23,21,24.6431,-82.9307,24,38.586,-82,55.842
NPSDT,1P4,44,Temptation Rock,444,P,22,28,24.6431,-82.9307,24,38.586,-82,55.842
FKNMS,7D2,75,Tennessee Deep,751,OD,23,44,24.7527,-80.7578,24,45.162,-80,45.468
FKNMS,7D2,75,Tennessee Deep,752,OD,23,44,24.7527,-80.7578,24,45.162,-80,45.468
FKNMS,7D2,75,Tennessee Deep,753,OD,22,44,24.7527,-80.7578,24,45.162,-80,45.468
