"","Year","Subregion","Site_name","StationID","biomass","n","SiteID","ProjectRegion","Habitat","Reg.Hab","Depth","Depth_group","latDD","lonDD","latDeg","latMin","lonDeg","lonMin"
"93",2013,"LK","Sand Key Shallow",612,1100,3,61,"FKNMS","OS","FKNMS _ OS",18,"Shallow",24.452,-81.8775,24,27.12,-81,52.65
"94",2013,"LK","Sand Key Shallow",613,1810,3,61,"FKNMS","OS","FKNMS _ OS",18,"Shallow",24.452,-81.8775,24,27.12,-81,52.65
"95",2013,"LK","Sand Key Shallow",614,1045,3,61,"FKNMS","OS","FKNMS _ OS",21,"Mid-shallow",24.452,-81.8775,24,27.12,-81,52.65
"96",2013,"LK","West Washer Women",361,1436,3,36,"FKNMS","P","FKNMS _ P",23,"Mid-shallow",24.5475,-81.5866,24,32.85,-81,35.196
"97",2013,"LK","West Washer Women",362,2266,3,36,"FKNMS","P","FKNMS _ P",25,"Mid-shallow",24.5475,-81.5866,24,32.85,-81,35.196
"98",2013,"LK","West Washer Women",363,920,3,36,"FKNMS","P","FKNMS _ P",24,"Mid-shallow",24.5475,-81.5866,24,32.85,-81,35.196
"99",2013,"LK","West Washer Women",364,1272,3,36,"FKNMS","P","FKNMS _ P",22,"Mid-shallow",24.5475,-81.5866,24,32.85,-81,35.196
"100",2013,"LK","Western Sambo Deep",791,815,3,79,"FKNMS","OD","FKNMS _ OD",40,"Mid-deep",24.478,-81.7171,24,28.68,-81,43.026
"101",2013,"LK","Western Sambo Deep",792,1395,3,79,"FKNMS","OD","FKNMS _ OD",40,"Mid-deep",24.478,-81.7171,24,28.68,-81,43.026
"102",2013,"LK","Western Sambo Deep",793,2059,3,79,"FKNMS","OD","FKNMS _ OD",27,"Mid-shallow",24.4796,-81.7142,24,28.776,-81,42.852
"103",2013,"LK","Western Sambo Deep",794,1895,3,79,"FKNMS","OD","FKNMS _ OD",29,"Mid-deep",24.4796,-81.7142,24,28.776,-81,42.852
"104",2013,"LK","Western Sambo Shallow",591,2077,3,59,"FKNMS","OS","FKNMS _ OS",14,"Shallow",24.4796,-81.7176,24,28.776,-81,43.056
"105",2013,"LK","Western Sambo Shallow",592,1612,3,59,"FKNMS","OS","FKNMS _ OS",17,"Shallow",24.4796,-81.7176,24,28.776,-81,43.056
"106",2013,"LK","Western Sambo Shallow",593,1638,3,59,"FKNMS","OS","FKNMS _ OS",9,"Shallow",24.4798,-81.7158,24,28.788,-81,42.948
"107",2013,"LK","Western Sambo Shallow",594,1470,3,59,"FKNMS","OS","FKNMS _ OS",9,"Shallow",24.4798,-81.7158,24,28.788,-81,42.948
"108",2013,"MK","Alligator Deep",741,2005,3,74,"FKNMS","OD","FKNMS _ OD",37,"Mid-deep",24.8452,-80.6209,24,50.712,-80,37.254
"109",2013,"MK","Alligator Deep",742,963,3,74,"FKNMS","OD","FKNMS _ OD",38,"Mid-deep",24.8452,-80.6209,24,50.712,-80,37.254
"110",2013,"MK","Alligator Deep",743,1806,3,74,"FKNMS","OD","FKNMS _ OD",38,"Mid-deep",24.8452,-80.6209,24,50.712,-80,37.254
"111",2013,"MK","Alligator Deep",744,2348,3,74,"FKNMS","OD","FKNMS _ OD",36,"Mid-deep",24.8452,-80.6209,24,50.712,-80,37.254
"112",2013,"MK","Alligator Shallow",541,2744,3,54,"FKNMS","OS","FKNMS _ OS",16,"Shallow",24.8457,-80.624,24,50.742,-80,37.44
"113",2013,"MK","Alligator Shallow",542,2856,3,54,"FKNMS","OS","FKNMS _ OS",16,"Shallow",24.8457,-80.624,24,50.742,-80,37.44
"114",2013,"MK","Alligator Shallow",543,2020,3,54,"FKNMS","OS","FKNMS _ OS",10,"Shallow",24.8468,-80.6227,24,50.808,-80,37.362
"115",2013,"MK","Alligator Shallow",544,1934,3,54,"FKNMS","OS","FKNMS _ OS",11,"Shallow",24.8468,-80.6227,24,50.808,-80,37.362
"116",2013,"MK","Dustan Rocks",351,2687,3,35,"FKNMS","P","FKNMS _ P",14,"Shallow",24.6895,-81.0302,24,41.37,-81,1.812
"117",2013,"MK","Dustan Rocks",352,2494,3,35,"FKNMS","P","FKNMS _ P",15,"Shallow",24.6895,-81.0302,24,41.37,-81,1.812
"118",2013,"MK","Dustan Rocks",353,1401,3,35,"FKNMS","P","FKNMS _ P",17,"Shallow",24.6895,-81.0302,24,41.37,-81,1.812
"119",2013,"MK","Dustan Rocks",354,1819,3,35,"FKNMS","P","FKNMS _ P",21,"Mid-shallow",24.6895,-81.0302,24,41.37,-81,1.812
"120",2013,"MK","Sombrero Deep",761,894,3,76,"FKNMS","OD","FKNMS _ OD",50,"Deep",24.6223,-81.112,24,37.338,-81,6.72
